Dive,Location,Sample,Smithsonian,Letter,Family,Group,Acidobacteriota,Actinobacteriota,Asgardarchaeota,Bacteroidota,Bdellovibrionota,Chlamydiota,Chloroflexota,Desulfobacterota_B,Desulfobacterota_D,Firmicutes,Gemmatimonadota,JAAXHH01,Latescibacterota,Myxococcota,Nitrospinota,Nitrospirota,Patescibacteria,Planctomycetota,Poribacteria,Proteobacteria,SAR324,Spirochaetota,Tectomicrobia,Thermoproteota,UBA8248,Verrucomicrobiota
509,Desecheo Ridge,10,Farrea sp.,I,Farreidae,Farreidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0000004,0,0
513,Esperanza Ridge,11,Hyalomena sp.,J,Hyalonematidae,Hyalonematidae,0,0,0,0.226299151,0.164010081,0,0,0,0,0,0,0,0,0,7.634933647,0,0.159690178,0,0,37.84958743,0.07084378,0.16384117,0,49.98052637,0,0
513,Esperanza Ridge,12,Chondrocladia sp.,M,Cladorhizidae,Cladorhizidae,0.055991605,1.810994377,0,3.362374988,0,0.128564503,0,0,0.228907497,0,0,0,0,0.047661843,0.277818282,0,0,0.125935253,0,18.39930999,0,0.057470557,0,34.79992893,0,0.362768324
513,Esperanza Ridge,13,Euplectella,C,Euplectellidae,Euplectellidae,0,0,0.718907089,0,1.001512196,0,0,0,0,1.899907909,0,0,0,0,0,0,0,0,0,6.798895509,0,0,0,56.61543781,0,0
514,Esperanza Ridge,14,Pleurochorium sp.,A,Euretidae,Euretidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.83162216,0,0,0,40.42880361,0,0
514,Esperanza Ridge,15,Chondrocladia sp.,L,Cladorhizidae,Cladorhizidae,0,1.408362528,0,3.759310115,0,0,0,0,0.201790155,0,0.053110792,0,0,0,0.351136241,0,0,0.274429779,0,20.50032393,0.059351614,0.055494721,0,33.70137987,0,0.163209316
517,Whiting Seamount,16,Hyalostylus sp.,G,Euplectellidae,Euplectellidae,0,0,0,0,0.16912508,0,0,0,0,0,0,0,0,0,0,0,1.362723424,0,0,30.48424808,0.0982097,0,0,47.08485318,0,0
518,Whiting Seamount,17,Phloeodictyidae,E,Phloeodictyidae,Phloeodictyidae,4.867971752,1.1231478,0,1.672344023,0,0,37.93090334,0.683853846,1.371706009,0,0.671702666,0.196630423,2.740278414,0,0,0.566747131,0,0,4.430554487,1.667553741,0,0.395056632,0.356732908,10.08771661,0.140556586,0
520,Whiting Seamount,18,Lefroyella sp.,F,Euretidae,Euretidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7505746,0.918205022,0,0,83.72098978,0,0
524,Whiting Seamount,19,Cladorhiza sp.,K,Cladorhizidae,Cladorhizidae,0,0.896404406,0,0.76576696,0,0,0,0,0,0,0,0,0,0,0.330016072,0,0.970595044,0,0,55.45437252,0,0,0,39.04632183,0,0
525,Ridge SW of Vieques,20,Hyalomena sp.,D,Hyalonematidae,Hyalonematidae,0,0,0,0,0,0,0.170735178,0,0,0,0,0,0,0,5.799098972,0,0,0,0,18.58302573,0,0.103977408,0,72.31513545,0,0
525,Ridge SW of Vieques,22,Hyalomena sp. Base,H,Hyalonematidae,Hyalonematidae,0,0,0,0.24789506,0.178921107,0,0,0,0,0.138285556,0,0,0,0,4.884350478,0,0,0,0,17.06548901,0,0.140788404,0,75.85991812,0,0
526,Ridge SW of Vieques,23,Hyalomena sp.,B,Hyalonematidae,Hyalonematidae,0,0.06321337,0,0.069964884,0,0,0,0,0,0,0,0,0,0,0,0,0.193989862,0,0,39.83093931,0,0.480993435,0,57.86505688,0,0
